id,category_id,views,likes,dislikes,comment_count
215,24,14565,478,13,67
216,10,125645,16754,65,1373
217,22,2188590,88099,7150,24225
218,1,394709,25188,281,1345
219,24,863116,20518,1030,4272
220,17,200235,1197,108,627
221,24,4632016,131784,9892,18284
222,10,122426,6310,298,1624
223,28,758998,19138,2272,2873
224,26,145100,5198,74,657
225,1,2671756,12699,505,1010
226,24,52743,4553,33,550
227,28,121681,6095,61,731
228,24,11404,62,26,20
229,27,419965,9805,1337,5457
230,23,137749,1145,61,131
231,24,772235,15301,1229,3328
232,27,297147,10410,110,665
233,24,126438,12229,86,1865
234,10,2285136,180284,3399,11700
235,27,206319,11131,209,553
236,24,60564,975,66,106
237,27,373457,16433,194,5220
238,23,4326684,167696,6730,9265
239,24,137860,1950,64,136
240,27,4009,61,6,14
241,24,3006,75,4,10
242,25,635985,20721,2417,4111
243,23,130893,8177,220,349
244,17,46954,87,18,28
245,10,208155,11162,569,954
246,24,190669,5162,131,1151
247,24,2509626,144816,2262,18893
248,26,20778,1440,24,437
249,25,30438,143,42,220
250,17,94694,136,11,31
251,24,211683,2279,545,1838
252,10,210393,8996,290,4043
253,17,63780,831,12,301
254,24,18438,563,16,29
255,28,1099318,26813,1047,3827
256,17,71661,6310,18,300
257,17,935879,5715,514,3442
258,10,131153,7129,78,265
259,25,84149,276,128,172
260,23,34138,4303,29,1399
261,24,144937,5246,171,280
262,27,306550,16612,160,1311
263,28,328325,19970,104,3336
264,24,2472569,17959,2863,2690
265,2,341074,10915,1915,1313
266,24,113963,11576,155,635
267,17,21544,83,74,62
268,25,93322,398,43,497
269,10,68084,2530,88,117
270,15,279092,8339,315,2371
271,25,692631,9086,1406,4582
272,24,155285,4719,64,207
273,2,93829,2229,36,469
274,26,31639,586,42,67
275,17,37524,126,77,45
276,23,358358,9211,731,1385
277,28,158173,6587,68,611
278,10,45200,930,67,116
279,27,286577,9606,248,1196
280,28,315177,4212,171,259
281,26,225044,2265,775,868
282,23,399491,6240,326,287
283,26,231104,12862,347,1824
284,17,5813,33,3,0
285,10,18317,1322,34,196
286,1,246134,5847,337,544
287,25,32483,23,10,135
288,24,113462,4566,142,757
289,19,311621,2425,145,465
290,24,94229,217,177,0
291,19,571588,386,47,113
292,24,272604,9576,260,1619
293,1,42336,4293,89,428
294,24,13750,305,10,39
295,17,6684,18,57,54
296,22,128523,4170,148,307
297,24,102639,3218,1085,475
298,10,20539417,840642,47715,124236
299,25,238413,732,92,618
300,17,41029,296,32,33
301,23,805124,44513,1756,3929
302,2,55140,136,14,46
303,22,120817,2896,210,594
304,1,58469,828,253,271
305,10,360223,15873,16033,7803
306,26,1775997,37124,1980,2695
307,25,6685,11,35,18
308,24,200060,4548,52,258
309,22,346924,4657,1838,734
310,10,12987863,216319,17751,12133
311,24,1981757,103407,1419,12354
312,17,1015189,2133,2483,1465
313,24,3653,47,3,25
314,24,2255529,48000,2970,8507
315,17,1155622,16060,883,1018
316,25,9892,250,7,19
317,10,5626588,408618,6121,28196
318,22,85643,170,45,0
319,22,212310,7589,227,463
320,17,180284,6073,125,512
321,24,301423,8409,349,952
322,24,835573,27068,2021,5165
323,10,3686343,130373,3628,6694
324,28,297840,10429,378,990
325,22,2922523,119348,1161,6736
326,24,595415,8795,450,1022
327,23,3643894,125205,8702,5687
328,25,9833,73,21,62
329,26,7563254,58209,10859,7120
330,10,54341,487,67,64
331,10,357078,19783,610,1732
332,10,1888789,44007,1997,1794
333,23,168446,374,48,191
334,24,263656,2556,5584,2377
335,26,515525,24115,1249,1860
336,10,39082222,1721383,23137,90352
337,28,1080230,2540,887,1040
338,10,873362,36365,594,2630
339,26,366892,9052,2993,3088
340,22,48372,382,11,29
341,22,216766,7108,95,319
342,24,81086,3085,150,250
343,28,3931,17,0,2
344,24,1072970,102199,1469,8943
345,1,56372,2332,191,261
346,27,69786,453,26,19
347,10,204298,9321,386,993
348,24,101233,3128,51,93
349,10,1126501,48219,444,1083
350,24,2498463,75023,1925,3483
351,10,224608,14843,180,1004
352,15,45965,2284,35,17
353,15,317304,17023,84,939
354,1,1996082,18992,1049,1322
355,24,44939,1576,110,1021
356,26,118316,3823,294,404
357,26,2244971,101831,12677,11863
358,1,2844271,60500,3667,8122
359,26,99019,2404,40,135
360,23,3591699,212004,3528,20418
361,10,1137392,26180,992,1055
362,10,147193,5405,151,395
363,10,482334,55001,184,3027
364,26,269509,10801,158,653
365,23,3741812,314872,2647,12114
366,22,1185773,45513,1378,4794
367,10,178313,9072,98,656
368,10,2185367,96850,1130,8216
369,1,366814,4099,172,449
370,10,797436,29425,585,1497
371,28,1646057,53901,1566,5963
372,24,271685,3330,854,0
373,17,3505996,5934,3400,5162
374,22,194946,9278,137,2803
375,22,392482,5659,2432,1311
376,10,1882868,88072,1219,6083
377,10,226317,11702,125,471
378,26,232083,14766,408,1107
379,25,144694,1012,588,288
380,24,908489,12261,339,1600
381,10,180606,2400,159,239
382,22,308352,15765,399,984
383,24,193832,1351,25,128
384,10,41251,1561,29,96
385,10,524911,7822,185,403
386,15,467804,19962,268,953
387,26,77302,3756,123,222
388,10,304700,12347,577,756
389,10,1440724,36686,6598,9637
390,24,878560,12961,1468,1788
391,24,155533,4621,233,451
392,20,161231,7803,169,1479
393,24,379918,4472,4507,2066
394,25,90454,211,65,59
395,10,157037,7800,96,326
396,10,895507,38734,550,1270
397,23,134372,7979,80,310
398,22,55901,477,132,105
399,24,207678,10372,69,554
400,1,3979891,151850,2378,8079
401,26,387902,24442,414,1346
402,22,1803724,57470,5261,7483
403,24,3621389,141681,1289,8127
404,23,1012513,20036,6510,5153
405,20,224426,17784,225,2762
406,23,1147169,31832,1902,1498
407,28,1362421,8970,4131,3857
408,24,593969,24672,735,5173
409,24,2916453,93039,1765,6493
410,25,533940,12633,597,1828
411,24,1559003,29898,884,1838
412,28,2900560,37329,34908,10768
413,24,760341,13283,317,433
414,26,1961066,142740,773,8471
415,10,1258937,114661,2509,11298
416,10,133212,6260,202,528
417,24,235655,2665,109,336
418,24,208117,21334,255,1229
419,17,229515,9435,90,759
420,1,1496471,43974,2045,9442
421,23,211596,3802,78,232
422,23,2223948,76806,1169,4176
423,28,5531707,72727,3362,14816
424,28,623803,17286,511,6126
425,23,1610930,85208,916,5001
426,24,42571,3557,147,693
427,10,507753,35595,483,2176
428,24,237107,2207,138,261
429,28,1825705,77531,4156,12025
430,1,1251180,32186,455,4166
431,24,79863,259,131,47
432,10,50934,2793,104,295
433,27,21740,979,5,93
434,24,574778,7517,154,515
435,25,153220,660,320,479
436,17,845763,17929,502,2325
437,24,42769,175,117,100
438,27,177648,6932,786,697
439,10,225337,9576,587,2282
440,26,17901,2325,50,429
441,26,290124,23472,483,2308
442,17,15232,84,11,20
443,23,1291560,152975,650,8490
444,24,28895,309,81,76
445,1,520049,28187,452,1607
446,17,10838,7,42,10
447,17,281868,1546,245,885
448,22,2325233,91111,7543,21450
449,26,196434,6305,88,762
450,24,936075,21642,1202,2877
451,22,52607,3835,32,351
452,24,91701,5930,70,743
453,1,17129,455,18,101
454,24,5086221,137819,10468,18395
455,28,860406,20489,2507,3083
456,17,2394,19,0,2
457,28,153583,6989,92,845
458,27,587752,11891,1777,6920
459,17,128892,1935,68,288
460,17,98396,93,19,46
461,24,90641,2349,409,1246
462,1,62185,4369,82,867
463,15,30576,1741,27,283
464,10,33887,1350,41,69
465,17,12494,252,3,91
466,27,338317,11251,120,680
467,27,232532,11933,231,607
468,24,100472,5140,40,560
469,10,2814427,194199,3757,12409
470,24,414929,8895,636,2594
471,24,827546,15887,1299,3460
472,27,440163,17988,211,5752
473,23,141129,8451,239,349
474,24,34221,1445,593,903
475,23,4576001,172379,6952,9440
476,10,282854,12958,664,1060
477,24,30341,730,22,34
478,24,207712,5447,143,1191
479,17,135459,9381,29,403
480,24,214305,4064,56,430
481,15,31910,1699,13,142
482,10,265822,9045,346,4701
483,27,11769,127,13,0
484,24,2584165,147110,2305,19313
485,24,175760,15482,138,2164
486,24,220189,2338,565,1922
487,10,157522,8012,85,286
488,10,84091,2892,95,122
489,19,1037561,716,117,223
490,24,174568,4934,65,208
491,17,10457,54,4,2
492,24,212992,7049,209,365
493,26,31076,1814,36,523
494,28,1154280,27632,1096,2547
495,17,984836,5855,530,3171
496,2,549044,16946,2438,1626
497,23,46545,5320,37,1596
498,25,32347,145,44,245
499,27,319797,17086,164,1356
500,10,62620,1170,92,131
501,28,372775,21214,119,3433
502,24,2567518,18425,2950,2776
503,2,120697,2376,38,492
504,15,289923,8480,321,2011
505,24,209442,19069,289,836
506,17,44320,130,77,42
507,25,727427,9459,1446,3292
508,17,99999,143,12,32
509,25,85742,278,128,174
510,24,20529,318,11,41
511,26,237111,2323,786,636
512,25,104295,423,45,551
513,23,409445,6345,331,299
514,23,365006,9431,741,1278
515,28,174023,7010,72,632
516,10,37575,1679,21,82
517,26,248499,13613,359,1870
518,28,327935,4345,175,261
519,25,59466,39,14,34
520,19,403564,2581,159,477
521,1,264129,6161,356,579
522,25,36859,23,10,135
523,17,22101,83,74,61
524,24,133296,5012,159,737
525,24,297046,9905,266,1551
526,10,28147,1801,48,263
527,1,46308,4511,91,442
528,26,33513,607,42,70
529,24,102878,225,182,0
530,22,136066,4355,158,318
531,2,100120,154,15,48
532,17,42472,303,32,36
533,23,863232,46439,1828,3708
534,10,22702386,869304,50018,123227
535,17,6904,18,58,53
536,25,1338,4,0,0
537,1,58604,828,253,305
538,22,121979,2901,210,595
539,24,215222,4720,55,264
540,26,1826373,37692,2026,2759
541,19,1118,6,0,2
542,25,251684,769,95,748
543,10,6355501,424406,6451,28735
544,10,381688,16467,18775,8352
545,25,6743,11,35,16
546,17,687,10,2,5
547,17,190543,6369,137,518
548,24,2083918,106243,1461,12707
549,22,350422,4735,1839,744
550,24,8088,280,4,145
551,24,3839,48,3,25
552,24,2328148,48904,3008,8459
553,25,10309,254,7,19
554,10,15432746,233172,19513,12709
555,22,92327,182,45,0
556,28,9036,427,14,79
557,22,216234,7715,230,470
558,1,5119,20,1,3
559,10,4435991,139054,4059,6887
560,17,1249702,1988,299,1554
561,28,300601,10497,382,991
562,24,616371,8926,461,1026
563,22,3031863,121285,1186,6852
564,25,10542,77,22,65
565,23,3790933,127412,8857,5449
566,28,1167646,2691,916,1122
567,24,849499,27121,2042,5181
568,10,2398093,48511,2221,1843
569,26,7727696,59673,11124,7350
570,10,383308,20371,627,1732
571,28,5366,19,0,2
572,24,272466,2586,5609,2323
573,10,58135,519,69,65
574,10,43449654,1788960,24548,93428
575,26,525210,24412,1259,1847
576,26,390261,9474,3091,3207
577,26,122772,3912,298,403
578,15,46260,2286,35,17
579,22,243412,7782,104,340
580,28,465893,111,14,59
581,1,59168,2412,193,274
582,24,82713,3124,151,250
583,24,1233722,115781,1615,9706
584,27,71089,460,27,20
585,24,127404,3869,56,111
586,15,339256,17267,85,948
587,10,226659,9725,400,1027
588,10,241314,15071,186,1011
589,24,2624056,75930,1949,3555
590,10,1354030,57838,512,1257
591,24,45236,1581,110,911
592,23,172587,379,49,199
593,1,2122489,20085,1104,1321
594,26,2291077,102726,12794,11941
595,10,935744,37129,622,2673
596,10,1262652,28119,1047,1113
597,22,49915,386,11,24
598,10,505794,55628,192,3033
599,23,3680540,216119,3570,20544
600,28,1603415,65594,700,12169
601,24,2585193,40775,3498,8834
602,24,4722974,119107,3782,6651
603,1,6659676,223821,4515,11792
604,10,804363,39816,6304,10586
605,1,2336528,6729,167,1286
606,26,501670,28309,422,4084
607,24,334497,12594,622,588
608,10,499946,135292,3528,12094
609,27,1164713,88541,742,6750
610,24,2935330,281095,2679,16009
611,22,397983,5666,1682,1306
612,10,3483755,789750,2840,72376
613,25,505886,23207,5375,7030
614,15,178977,14355,87,429
615,24,406769,6593,397,1253
616,28,1117997,50946,760,5525
617,23,1117510,61075,463,64506
618,26,677167,31301,747,1690
619,20,463992,25840,509,3708
620,24,228846,1326,501,1166
621,22,1276326,70960,811,4293
622,24,340348,5474,372,653
623,23,1035804,18816,737,1133
624,28,270859,11492,576,1715
625,28,218153,5155,308,655
626,10,177348,18022,507,3143
627,23,655161,21013,2563,2671
628,22,2128788,61484,7800,9079
629,24,1693011,84669,810,14183
630,24,816696,29135,1267,8648
631,23,1223069,23939,8061,6518
632,25,5938,108,3,21
633,24,531746,32749,642,1731
634,22,76491,3849,95,217
635,24,769769,6133,1124,2837
636,28,1828753,10814,5339,4793
637,10,1884763,135815,3303,12752
638,10,284037,9821,397,708
639,23,1333817,35950,2080,1611
640,24,39504,1389,92,696
641,10,81947,8184,146,922
642,10,673010,58902,786,2901
643,24,88644,5172,453,976
644,17,420033,14353,147,1071
645,17,326709,5340,207,323
646,28,736829,18708,794,6460
647,24,3300683,98182,1914,6794
648,24,363095,3657,146,389
649,28,516456,21523,1107,2972
650,28,3495474,41976,42467,12311
651,26,2167114,151277,862,8848
652,20,55460,3871,96,428
653,1,1716572,46900,2404,10160
654,23,328417,5188,129,299
655,24,325333,2750,307,383
656,27,116732,5023,314,1086
657,10,82048,3539,144,347
658,24,59190,2001,86,527
659,17,113926,1026,37,333
660,24,82415,4468,70,354
661,23,1843479,91834,1030,5441
662,27,76475,4208,44,284
663,24,100908,314,190,80
664,27,30569,1184,14,130
665,10,360001,28058,385,942
666,10,615712,38795,594,2446
667,17,23429,365,10,188
668,17,26922,111,14,38
669,24,69199,4237,15,220
670,1,1351046,33595,496,4344
671,24,647820,8122,168,530
672,10,276231,30255,412,2293
673,26,6582,174,8,22
674,24,52292,204,148,120
675,10,253763,10327,691,2552
676,17,12831,86,5,35
677,24,38818,370,112,95
678,17,19800,10,102,17
679,26,322642,25373,537,2414
680,23,1383687,159600,682,8793
681,23,77486,5189,60,3194
682,25,157973,681,337,546
683,22,65197,4287,36,396
684,1,575434,29299,514,1749
685,26,24416,2738,83,479
686,24,378984,7464,299,359
687,24,101742,6282,89,797
688,10,54697,1693,65,79
689,22,2400741,92831,7687,21714
690,24,962308,22111,1219,2928
691,26,22383,921,26,78
692,28,914680,21174,2586,3064
693,24,5392036,142006,10797,18930
694,10,28169,1623,19,113
695,28,162006,7229,97,886
696,27,650799,12694,1946,6656
697,2,298744,5906,444,1502
698,23,12858,37,1,5
699,15,34968,1834,27,317
700,17,137518,1990,70,304
701,1,66349,4544,87,887
702,27,356406,11637,120,699
703,10,3228511,204840,3983,12937
704,24,113820,5562,50,593
705,27,244538,12392,236,598
706,17,80687,197,30,53
707,24,492640,10058,744,2481
708,17,167484,10718,37,440
709,24,863397,16213,1337,2913
710,27,467678,18528,219,5726
711,10,340068,14253,719,1174
712,27,16017,206,16,0
713,23,4737269,175762,7017,9557
714,24,39122,1572,629,949
715,24,214925,5591,145,1281
716,24,240124,4288,58,438
717,10,310812,10079,398,5112
718,10,34262,2023,71,299
719,23,143522,8593,241,349
720,24,189155,16242,141,2204
721,24,224207,2366,570,1919
722,24,2656622,149105,2339,19644
723,15,39490,1932,14,159
724,2,952966,28677,3540,2497
725,28,1194113,28200,1111,2582
726,27,327639,17313,165,1401
727,17,1014512,5954,541,3174
728,25,32977,146,45,232
729,28,396661,21839,127,3337
730,2,130950,2448,39,503
731,10,96267,3194,105,129
732,25,86671,280,128,174
733,15,296542,8575,328,2018
734,24,2630503,18741,2999,2810
735,26,33738,1933,36,491
736,23,426359,6418,333,344
737,23,50473,5682,39,1634
738,25,759217,9848,1511,3477
739,10,68613,1288,101,142
