,category_id,views,likes,dislikes,comment_count,publish_time
99,10,195685,14338,171,1070,2017-11-10T18:03:54.000Z
100,22,1098897,43875,1326,4702,2017-11-09T11:24:14.000Z
101,10,893462,22326,833,943,2017-11-09T22:26:10.000Z
102,23,225286,1731,193,206,2017-11-10T11:00:04.000Z
103,24,264793,3283,853,0,2017-11-09T08:01:40.000Z
104,10,5476737,286268,4083,12254,2017-11-10T05:01:00.000Z
105,23,3578502,307435,2573,12248,2017-11-10T03:43:43.000Z
106,24,304926,3305,130,275,2017-11-10T14:00:10.000Z
107,26,247319,10138,153,639,2017-11-10T18:42:55.000Z
108,1,296434,3327,142,377,2017-11-09T22:00:07.000Z
109,10,125962,5048,139,369,2017-11-10T05:00:01.000Z
110,10,419341,53572,168,3083,2017-11-10T17:00:05.000Z
111,10,138988,7999,84,612,2017-11-10T05:00:06.000Z
112,10,1774018,88417,1002,7686,2017-11-09T05:00:05.000Z
113,28,1575525,52829,1524,5864,2017-11-09T21:18:33.000Z
114,10,626688,25115,499,1392,2017-11-09T17:03:42.000Z
115,26,219030,14303,398,1099,2017-11-10T01:30:00.000Z
116,10,493662,7693,181,388,2017-11-09T00:44:51.000Z
117,24,1017803,25122,628,1504,2017-11-09T18:20:27.000Z
118,24,139955,4417,217,457,2017-11-09T11:30:00.000Z
119,22,362009,5505,2356,1264,2017-11-09T07:00:01.000Z
120,22,294387,15247,385,976,2017-11-10T00:24:29.000Z
121,24,844653,11616,313,1518,2017-11-09T08:35:00.000Z
122,23,1315873,9312,584,769,2017-11-09T04:58:04.000Z
123,22,188003,9091,135,2814,2017-11-09T23:27:18.000Z
124,10,1624771,84426,1130,5981,2017-11-09T15:45:05.000Z
125,25,125970,935,507,262,2017-11-10T13:00:02.000Z
126,10,205869,11198,120,446,2017-11-10T13:24:10.000Z
127,10,98422,2926,106,798,2017-11-10T21:38:57.000Z
128,15,426078,19323,245,945,2017-11-09T13:34:58.000Z
129,10,33315,1365,24,91,2017-11-09T22:27:45.000Z
130,10,1231518,32648,6221,9288,2017-11-08T17:00:00.000Z
131,20,154872,7683,164,1734,2017-11-09T19:59:48.000Z
132,26,72626,3652,120,219,2017-11-10T22:22:04.000Z
133,24,366180,4364,4448,1997,2017-11-09T02:37:49.000Z
134,10,264511,11736,532,743,2017-11-10T08:00:01.000Z
135,24,192609,1345,24,126,2015-05-21T07:55:00.000Z
136,10,95944,1354,181,117,2017-11-09T15:49:21.000Z
137,10,154494,2163,147,211,2017-11-10T08:00:01.000Z
138,22,53321,443,131,106,2017-11-09T18:24:34.000Z
139,24,95085,909,52,193,2011-03-27T04:31:25.000Z
140,10,91776,4604,46,357,2017-11-10T00:00:00.000Z
141,10,764716,35765,483,1159,2017-11-09T09:00:00.000Z
142,10,135337,7158,89,318,2017-11-10T08:00:03.000Z
143,26,77630,1991,83,208,2017-11-09T14:00:08.000Z
144,24,378750,5642,146,675,2017-11-09T09:00:07.000Z
145,24,151709,9210,71,1103,2017-11-09T15:06:34.000Z
146,24,175852,15909,200,852,2017-11-09T16:00:09.000Z
147,10,5149,242,0,54,2017-11-10T04:08:31.000Z
148,10,1905487,65854,2442,4490,2017-11-08T13:00:00.000Z
149,10,9632678,810895,16139,59473,2017-11-08T13:00:01.000Z
150,24,476389,16106,950,2077,2017-11-08T21:05:20.000Z
151,24,754558,11985,1356,1757,2017-11-08T05:01:25.000Z
152,10,762616,20159,336,899,2017-11-09T02:21:31.000Z
153,24,199429,10175,66,539,2017-11-09T23:59:08.000Z
154,22,691229,31892,197,1404,2017-11-09T03:16:36.000Z
155,27,6412,49,0,2,2012-06-10T19:24:38.000Z
156,23,108618,4989,58,274,2017-11-09T14:00:17.000Z
157,27,79306,3809,127,670,2017-11-09T14:00:01.000Z
158,24,812007,5894,951,851,2017-11-08T14:00:05.000Z
159,26,55398,1170,22,336,2017-11-09T17:22:40.000Z
160,27,773,2,0,0,2017-03-31T21:46:53.000Z
161,24,581288,5075,725,1780,2017-11-08T13:34:23.000Z
162,10,99619,3959,158,335,2017-11-09T14:00:04.000Z
163,2,4850,22,1,1,2017-11-09T09:59:31.000Z
164,10,226088,10844,302,555,2017-11-09T18:46:37.000Z
165,10,651036,23338,442,1101,2017-11-08T22:04:53.000Z
166,24,451356,3454,284,623,2017-11-08T18:00:00.000Z
167,15,46571,4250,16,408,2017-11-09T23:44:18.000Z
168,24,28539,681,25,45,2017-11-10T20:39:51.000Z
169,1,12609,40,79,17,2017-10-13T08:20:03.000Z
170,10,30021,569,42,44,2017-11-09T15:00:02.000Z
171,26,471266,23634,460,1714,2017-11-09T03:27:36.000Z
172,24,1073134,47793,1886,5358,2017-11-08T22:17:37.000Z
173,17,18573,420,10,236,2017-11-10T04:00:52.000Z
174,27,250193,5748,332,1197,2017-11-08T20:30:01.000Z
175,28,1827,3,0,2,2017-11-04T20:48:16.000Z
176,28,2457408,2707,200,209,2017-11-07T19:22:49.000Z
177,23,51143,258,5,10,2017-11-09T16:53:13.000Z
178,24,27010,1666,36,150,2017-11-09T17:01:01.000Z
179,26,122669,5723,55,263,2017-11-09T18:30:01.000Z
180,22,358597,1211,72,593,2017-11-07T18:54:39.000Z
181,24,56012,6243,106,414,2017-11-09T19:11:16.000Z
182,22,6148,121,3,19,2017-11-09T16:33:02.000Z
183,26,1390440,86207,1775,710,2017-11-08T18:24:16.000Z
184,25,244532,633,174,765,2017-11-07T22:59:49.000Z
185,24,82087,998,93,289,2017-11-08T21:50:37.000Z
186,23,359120,15130,223,1143,2017-11-09T01:27:53.000Z
187,25,33768,426,88,550,2017-11-08T18:39:38.000Z
188,10,38068,2195,28,154,2017-11-09T05:00:01.000Z
189,26,1277364,56867,2148,25326,2017-11-08T18:00:05.000Z
190,10,1498866,67227,1473,4645,2017-11-08T14:00:09.000Z
191,22,280065,20289,38,939,2017-11-08T22:13:18.000Z
192,22,2259,0,0,0,2017-11-09T18:01:04.000Z
193,17,470191,4037,430,1553,2017-11-08T15:59:06.000Z
194,17,16305,147,13,47,2017-11-09T07:27:32.000Z
195,25,169511,57,59,79,2017-11-08T20:16:47.000Z
196,24,160477,8388,691,950,2017-11-08T00:03:47.000Z
197,2,704363,16352,224,841,2017-11-08T15:00:27.000Z
198,22,130778,5684,53,737,2017-11-08T21:00:01.000Z
199,28,560569,29990,341,1788,2017-11-08T17:16:26.000Z
200,23,462490,14132,795,666,2017-11-14T15:32:51.000Z
201,23,295217,4854,1439,1267,2017-11-14T16:43:11.000Z
202,24,1525400,63995,896,4697,2017-11-14T18:31:20.000Z
203,28,1836419,28647,17815,7860,2017-11-14T00:45:15.000Z
204,26,977285,87615,391,5575,2017-11-14T12:06:56.000Z
205,28,390964,3687,1273,1224,2017-11-14T12:02:49.000Z
206,23,1611093,58474,837,3294,2017-11-14T04:55:24.000Z
207,23,983365,60983,578,3837,2017-11-14T18:01:03.000Z
208,23,2765121,35529,1705,2388,2017-11-14T08:30:01.000Z
209,28,3701763,56561,2495,11608,2017-11-13T20:09:58.000Z
210,1,829132,25109,316,3428,2017-11-14T18:00:01.000Z
211,24,391049,5939,106,385,2017-11-14T12:13:35.000Z
212,25,137003,580,262,343,2017-11-14T21:51:20.000Z
213,23,891912,122347,455,7459,2017-11-14T21:00:47.000Z
214,26,175539,17130,264,1747,2017-11-14T21:03:47.000Z
215,24,14565,478,13,67,2017-11-15T01:25:18.000Z
216,10,125645,16754,65,1373,2017-11-15T03:43:47.000Z
217,22,2188590,88099,7150,24225,2017-11-13T17:13:01.000Z
218,1,394709,25188,281,1345,2017-11-13T20:47:49.000Z
219,24,863116,20518,1030,4272,2017-11-13T20:00:01.000Z
220,17,200235,1197,108,627,2017-11-14T16:28:34.000Z
221,24,4632016,131784,9892,18284,2017-11-13T07:30:00.000Z
222,10,122426,6310,298,1624,2017-11-14T23:06:27.000Z
223,28,758998,19138,2272,2873,2017-11-13T19:07:23.000Z
224,26,145100,5198,74,657,2017-11-14T16:00:01.000Z
225,1,2671756,12699,505,1010,2017-11-13T14:00:23.000Z
226,24,52743,4553,33,550,2017-11-14T19:48:51.000Z
